communityname,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,larc_bin
Winslowtownship,30087,3.09,22.95,74.55,1.13,3.07,13.28,27.49,11.39,7.47,20531,68.24,39916,84.63,0.8,35.16,20.56,4.41,12.71,42378,14016,14515,12384,17892,19823,7087.0,8254,2120,7.35,7.98,24.15,17.48,5.37,65.48,13.09,27.11,13.88,28.31,7.88,30.1,11.92,9.94,3.35,79.37,74.56,90.87,74.87,63.0,72.17,831,4.23,731,7.93,15.46,24.9,24.9,0.19,0.38,0.6,0.6,93.57,1.06,6.36,5.08,2.96,3.06,2.54,84.44,2.32,32.29,3,757,92.79,81.86,4.89,64.33,1977,2.16,0.39,80000,100700,125600,45600,345,454,574,229,553,29.3,23.8,17.0,114,0,2.43,52.55,53.73,74.05,88.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,503.3,6.02,0.0,0.0,0.0,0.0,0.0,0.0,1,3.19,6.0,19.14,29.0,92.5,119.0,379.55,258.0,822.89,488.0,1556.47,99.0,315.76,11.0,35.08,494.37,2730.2,0
Petersburgcity,38386,2.61,72.13,26.56,0.75,1.23,12.75,27.11,13.68,13.6,38386,100.0,21309,73.47,0.55,21.44,32.36,12.38,23.39,27243,10547,15150,8859,7020,12730,6856.0,8181,7359,20.3,17.42,37.76,13.54,8.45,54.17,15.6,29.62,20.76,17.58,14.18,40.16,16.86,15.65,3.09,45.86,37.26,51.46,57.54,64.08,73.6,4101,12.99,707,12.31,20.93,20.93,25.88,0.23,0.39,0.39,0.48,95.73,0.59,6.5,4.2,2.46,2.54,2.39,52.43,4.3,52.56,2,1466,90.95,50.86,10.91,46.45,1962,14.22,0.63,37100,52000,69700,32600,164,257,346,182,360,27.7,21.4,12.7,10,10,1.84,74.23,53.24,78.54,91.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,1619.7,3.58,0.0,0.0,0.0,0.0,0.0,0.0,11,26.6,26.0,62.88,221.0,534.51,293.0,708.65,810.0,1959.08,1720.0,4160.02,225.0,544.19,8.0,19.35,1332.66,6682.63,1
Marshfieldtown,21531,2.85,0.72,98.29,0.54,0.66,13.78,25.83,12.56,7.73,0,0.0,48986,84.69,1.38,45.67,18.61,3.8,14.46,55524,19373,19398,19855,9298,17331,28393.0,18727,783,3.63,1.41,7.03,32.79,6.62,70.29,10.3,24.24,7.56,34.49,6.73,31.33,10.23,8.53,3.33,82.55,81.99,92.49,85.67,61.35,70.48,121,0.78,522,8.05,8.05,15.9,16.48,0.2,0.2,0.39,0.4,95.59,0.38,5.38,4.04,2.84,3.02,2.23,82.26,0.94,34.95,3,1320,85.13,77.39,5.68,70.83,1963,0.21,0.23,144500,177000,225900,81400,501,634,746,245,710,29.0,22.7,14.8,37,1,2.41,77.22,62.02,82.59,93.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,730.2,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4.37,2.0,8.73,38.0,165.96,89.0,388.7,372.0,1624.67,35.0,152.86,0.0,0.0,179.06,2166.22,0
HarperWoodscity,14903,2.27,0.89,97.86,0.9,1.02,8.56,19.67,8.06,24.63,14903,100.0,33098,63.57,0.3,62.95,47.63,2.5,29.97,41855,16920,16872,20311,9283,20527,18286.0,7883,653,4.42,7.82,22.85,17.18,4.24,52.93,15.55,26.86,9.23,28.66,6.68,26.16,9.18,8.08,2.89,80.65,81.14,95.7,77.35,63.01,69.15,88,0.67,1244,1.69,2.33,2.33,2.33,0.14,0.19,0.19,0.19,89.18,0.98,3.01,1.93,2.25,2.38,1.67,85.58,1.03,42.56,3,172,97.45,80.63,0.0,26.74,1954,0.18,0.07,51800,66300,83400,31600,409,508,584,175,576,24.9,18.6,14.4,0,0,8.35,77.8,65.69,86.5,96.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,5560.8,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,43.0,299.82,21.0,146.42,78.0,543.86,1748.0,12187.98,240.0,1673.41,5.0,34.86,0.0,14440.11,1
Lafayettecity,14548,2.7,0.98,88.96,2.17,14.87,11.14,24.93,9.09,5.29,0,0.0,34182,88.48,0.88,40.48,13.23,3.85,8.43,36533,14405,14714,14139,11262,15085,10704.0,10109,1220,8.43,5.45,14.97,28.11,3.93,76.18,24.71,21.6,12.94,30.83,12.71,24.84,16.83,14.83,3.2,75.31,75.17,84.61,72.52,68.96,75.54,105,1.17,767,14.21,29.6,33.38,53.98,0.75,1.56,1.76,2.85,88.69,1.99,4.74,3.36,2.69,2.77,2.51,73.88,3.52,44.23,3,383,93.37,71.96,0.52,32.9,1978,2.58,0.0,68000,82100,94000,26000,349,449,558,209,523,28.4,23.7,14.8,9,0,5.27,42.77,41.11,73.53,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,2035.3,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,33.89,59.0,333.24,111.0,626.94,542.0,3061.28,28.0,158.15,7.0,39.54,367.13,3885.91,0
Nashuacity,79662,2.57,1.62,95.15,1.93,3.02,12.12,28.51,12.71,9.14,79662,100.0,40505,84.8,1.18,50.24,20.88,4.16,12.92,46614,18010,18199,15181,11961,17049,9018.0,10798,5135,6.53,6.63,17.31,28.84,6.03,70.46,31.4,18.82,11.91,32.41,9.25,31.11,12.01,10.67,3.08,79.44,77.34,84.97,79.64,62.87,72.21,985,1.82,5573,18.27,25.46,32.08,40.66,1.28,1.78,2.24,2.84,84.94,1.75,3.68,2.49,2.53,2.74,2.25,62.46,1.59,51.12,2,2332,93.01,57.71,0.73,25.51,1969,3.73,0.3,116000,138800,166100,50100,440,574,686,246,645,26.0,23.2,14.8,26,2,7.0,37.01,47.72,71.02,73.34,158.0,196.43,137.0,170.32,61132.0,76001.7,386.9,196.4,97.05,98.1,0.63,1.27,0.0,1.9,8.0,6.0,159.7,32.0,2486.9,1.16,35.0,9732848.0,86.71,10.0,5.06,121002.6,3,3.73,26.0,32.32,13.0,16.16,26.0,32.32,380.0,472.43,1935.0,2405.67,266.0,330.7,35.0,43.51,84.54,3252.32,0
ForestGrovecity,13559,2.74,0.54,90.34,2.79,9.67,16.64,30.23,16.91,12.14,13559,100.0,24162,75.28,0.35,39.93,28.91,5.64,16.64,31674,10759,11277,10712,6280,7191,4581.0,5005,2007,15.78,9.86,24.3,20.43,6.16,58.31,26.93,26.24,19.83,23.39,9.54,31.54,12.39,11.06,3.17,76.31,72.13,86.3,78.17,58.39,68.65,83,0.82,861,26.13,34.49,42.86,56.68,1.66,2.19,2.72,3.6,89.45,2.46,7.2,4.75,2.57,2.75,2.39,54.07,5.34,50.45,2,156,96.94,50.61,4.49,36.54,1970,5.2,0.49,54200,66000,80500,26300,258,329,394,136,370,27.2,18.7,12.3,0,0,6.35,44.95,41.26,71.62,82.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3171.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2,12.66,3.0,18.99,8.0,50.65,7.0,44.32,117.0,740.69,478.0,3026.08,40.0,253.23,5.0,31.65,126.61,4051.66,0
Denvercity,467610,2.22,12.84,72.11,2.35,22.96,11.31,25.92,11.86,12.22,467567,99.99,25106,76.35,0.75,40.62,24.24,7.61,14.79,32038,15590,18191,10442,7703,9556,6993.0,7778,78515,17.13,7.68,20.8,29.05,6.77,62.99,10.02,26.82,11.32,31.35,14.85,36.79,18.23,16.61,3.0,62.31,58.02,69.12,63.57,61.31,69.26,18597,5.65,34715,17.53,26.73,35.56,47.16,1.3,1.98,2.64,3.5,83.12,3.0,5.49,2.87,2.17,2.36,1.98,53.63,4.23,62.59,2,28684,88.03,49.19,6.41,35.32,1957,5.49,0.35,61300,79000,102300,41000,256,339,445,189,386,26.2,22.4,13.2,1169,100,7.42,45.28,46.26,74.78,86.57,1318.0,260.56,1103.0,218.05,960000.0,189782.2,728.4,260.6,95.33,76.25,6.83,16.24,0.15,21.4,52.0,9.0,61.1,158.8,2944.6,8.19,617.0,80514712.0,83.69,5.0,3.95,159169.41,74,14.63,393.0,77.69,1863.0,368.3,2922.0,577.65,9128.0,1804.51,17858.0,3530.34,7558.0,1494.14,440.0,86.98,1038.27,6915.98,1
Marioncity,34075,2.59,4.22,94.72,0.45,0.85,14.23,26.63,12.85,11.68,0,0.0,22439,72.65,0.66,31.66,30.89,12.41,16.99,27049,10365,10499,7185,10716,12381,7082.0,7572,5667,16.85,9.68,30.32,9.41,10.98,55.48,26.25,20.37,22.82,17.85,13.31,24.01,15.71,14.6,3.1,70.49,66.69,77.23,76.39,58.27,66.36,868,2.97,256,0.0,13.67,16.02,31.64,0.0,0.1,0.12,0.24,97.7,0.24,4.6,3.24,2.56,2.63,2.45,63.17,1.68,40.38,3,1064,92.53,61.48,3.38,57.42,1945,12.2,0.81,24100,34500,48100,24000,185,232,284,99,337,25.6,16.3,12.9,4,0,0.75,81.01,53.95,85.45,93.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,4102.3,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1,2.88,16.0,46.03,37.0,106.44,20.0,57.53,587.0,1688.58,1533.0,4409.86,103.0,296.29,3.0,8.63,212.87,6403.36,1
Bridgeporttownship,12747,2.82,12.07,82.57,0.38,8.07,15.99,26.89,13.54,8.72,8616,67.59,32083,79.48,1.78,37.65,25.41,11.34,19.16,35732,12703,12367,14346,15840,94005,8780.0,8216,1725,13.7,7.23,24.24,9.21,8.32,59.89,29.09,18.9,23.04,17.22,8.91,28.52,12.57,10.82,3.18,70.8,68.55,75.48,76.86,67.85,68.64,331,3.05,225,8.89,12.0,12.0,17.78,0.16,0.21,0.21,0.31,94.53,1.0,5.29,4.21,2.8,2.92,2.4,79.84,2.86,33.35,3,163,96.51,76.5,3.07,61.96,1963,2.35,0.47,34300,46500,60900,26600,242,307,350,108,376,26.6,17.4,12.7,0,0,1.77,85.3,66.76,92.74,96.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,355.3,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,53.45,12.0,91.63,64.0,488.7,202.0,1542.46,11.0,84.0,1.0,7.64,0.0,2122.79,0
Stoningtontown,16919,2.41,0.58,98.5,0.53,1.3,11.09,22.96,10.71,14.97,3166,18.71,39651,77.8,0.92,58.4,29.96,3.74,20.75,46720,20808,20815,18001,10674,32406,5854.0,12280,756,4.49,7.94,19.73,26.56,5.0,64.74,27.93,22.01,10.69,30.92,8.72,27.57,10.52,9.64,2.93,80.79,79.48,92.79,78.37,64.68,71.59,117,0.9,978,2.86,10.22,11.45,13.5,0.17,0.59,0.66,0.78,91.78,1.78,2.86,1.98,2.4,2.53,2.11,72.47,0.8,40.78,3,906,88.56,68.7,0.88,45.14,1952,1.07,0.64,129500,169800,241200,111700,361,495,632,271,588,24.1,22.9,13.1,4,0,5.78,37.34,60.51,83.99,86.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,422.1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,41.57,1.0,5.94,82.0,486.91,360.0,2137.64,13.0,77.19,1.0,5.94,47.5,2707.68,0
Edmondcity,52315,2.79,3.1,91.76,2.02,1.76,15.61,28.32,13.89,6.07,51483,98.41,37644,85.55,1.58,48.83,15.63,2.85,11.32,43970,17215,17860,7778,12304,10070,11535.0,9208,3730,7.33,2.53,9.65,43.46,3.89,70.3,7.5,29.56,6.28,39.38,6.89,25.87,11.08,9.08,3.14,81.78,81.59,87.9,81.53,56.81,67.38,381,1.17,1617,32.03,51.33,59.49,63.2,0.99,1.59,1.84,1.95,94.72,0.48,2.86,2.19,2.71,2.89,2.33,72.33,1.93,31.28,3,1842,91.06,67.79,0.43,39.63,1978,2.2,0.2,58700,80000,120100,61400,254,332,432,178,423,26.2,20.6,12.1,0,0,3.09,56.44,43.57,72.14,84.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3,592.2,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1,1.62,13.0,21.1,21.0,34.09,64.0,103.9,375.0,608.78,1476.0,2396.14,160.0,259.74,21.0,34.09,160.72,3298.75,0
Snellvillecity,12084,3.07,0.59,98.3,0.7,0.78,15.66,25.59,12.4,7.7,12084,100.0,46875,86.75,0.81,52.68,19.37,2.73,14.72,50665,17523,17583,14172,5354,0,4643.0,12604,337,2.83,3.39,12.2,21.82,3.1,69.48,12.68,19.47,7.51,30.66,4.96,22.37,8.87,7.0,3.25,86.67,85.53,92.92,89.1,51.45,70.28,52,0.62,185,18.92,43.24,47.03,47.03,0.29,0.66,0.72,0.72,96.75,0.18,3.59,3.17,3.03,3.04,2.93,84.76,0.74,11.3,3,245,94.15,84.24,0.0,19.59,1978,0.43,0.36,82900,96500,120200,37300,433,491,586,153,616,26.6,21.6,12.8,0,0,1.53,51.27,54.29,72.28,83.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1277.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,27.11,3.0,20.34,5.0,33.89,67.0,454.18,398.0,2697.94,19.0,128.8,0.0,0.0,81.34,3280.91,0
LaMesacity,52931,2.28,3.0,90.24,3.09,9.78,10.77,27.8,13.81,15.6,52931,100.0,31171,74.87,0.68,48.12,29.04,6.51,20.2,37943,16700,17172,12720,16110,12062,11326.0,11048,4765,9.24,3.64,13.32,24.25,4.93,61.71,10.13,26.48,8.41,30.89,12.32,33.13,17.36,15.02,2.79,67.21,66.32,83.07,65.91,53.29,65.41,661,1.82,4786,14.73,20.1,29.77,35.71,1.33,1.82,2.69,3.23,87.01,1.69,2.89,1.71,2.23,2.37,2.1,51.24,4.4,59.77,2,948,96.08,48.24,0.42,11.18,1964,1.5,0.34,134000,163700,197000,63000,466,552,672,206,594,30.1,22.8,10.7,0,0,9.04,43.11,44.48,80.68,88.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,5541.4,2.79,0.0,0.0,0.0,0.0,0.0,0.0,1,1.83,10.0,18.32,147.0,269.29,108.0,197.84,679.0,1243.84,1494.0,2736.82,555.0,1016.69,5.0,9.16,487.28,5006.5,0
Manitowoccity,32520,2.47,0.22,96.37,2.52,1.15,11.81,23.19,10.69,17.02,0,0.0,24202,71.73,0.34,57.06,36.77,8.02,18.1,31016,12286,12608,7440,7281,2211,9863.0,5198,3344,10.65,12.71,25.55,14.48,5.79,57.24,35.79,22.83,24.34,21.63,7.96,27.52,9.43,8.74,3.03,78.34,78.6,86.1,80.85,68.61,74.55,407,1.4,878,35.19,40.43,42.82,62.07,0.95,1.09,1.16,1.68,93.99,1.48,4.0,2.64,2.39,2.58,2.01,71.32,1.53,43.24,3,584,95.75,65.96,1.37,48.29,1950,3.01,0.23,38100,48100,63500,25400,182,237,300,118,294,23.5,17.1,12.3,0,0,2.7,84.27,60.66,87.41,93.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,2177.5,0.91,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,8.0,23.99,3.0,9.0,25.0,74.98,204.0,611.84,1358.0,4072.94,91.0,272.93,6.0,18.0,110.97,4975.71,1
Stauntoncity,24461,2.59,12.6,86.59,0.42,0.69,13.34,25.4,13.06,15.22,0,0.0,25366,74.37,0.8,40.91,33.18,7.4,20.05,32414,12912,13637,8458,4982,5657,5336.0,6514,2534,11.66,13.6,28.58,17.78,3.58,56.01,16.43,30.16,17.44,24.32,12.9,28.31,13.2,13.06,2.86,70.86,63.29,71.62,73.15,62.25,74.67,539,2.94,367,24.25,35.15,35.15,50.95,0.36,0.53,0.53,0.76,96.48,0.42,2.66,1.74,2.3,2.4,2.15,63.82,1.23,42.79,3,571,94.29,61.24,1.4,49.04,1958,8.16,0.42,46200,62700,85300,39100,208,284,357,149,359,24.1,17.0,12.6,30,0,1.5,71.49,49.22,69.15,86.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,1194.9,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1,3.99,8.0,31.89,4.0,15.94,30.0,119.57,110.0,438.42,625.0,2491.03,21.0,83.7,2.0,7.97,171.38,3021.12,0
Lincolnwoodvillage,11365,2.77,0.11,83.58,15.57,3.24,11.43,18.34,9.74,19.76,11365,100.0,57309,76.96,0.91,65.84,35.42,1.53,14.15,62419,27154,29111,77391,0,16573,14274.0,27711,246,2.16,5.17,11.45,41.85,4.13,61.33,13.05,28.53,4.31,45.64,3.09,22.83,5.49,4.36,3.07,90.3,88.98,100.0,87.53,53.64,63.67,11,0.13,3141,3.72,5.32,10.95,16.56,1.03,1.47,3.03,4.58,61.38,3.21,4.72,3.98,2.77,2.78,2.69,96.12,1.32,16.48,3,88,97.9,96.0,0.0,37.5,1956,0.34,0.0,153400,199300,275600,122200,613,795,945,332,1001,32.4,20.7,12.3,0,0,27.64,62.33,69.38,96.23,97.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,4129.7,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,153.94,12.0,102.63,80.0,684.17,577.0,4934.58,42.0,359.19,3.0,25.66,0.0,6003.59,1
Taylorcity,70811,2.85,4.21,93.23,1.26,2.81,15.39,29.94,14.71,7.33,70811,100.0,32659,81.77,0.38,31.61,20.72,11.19,15.91,36244,12955,13147,10051,11526,10905,10219.0,10039,8325,11.92,9.06,31.8,6.76,8.88,59.98,28.38,14.27,23.73,14.34,10.82,30.64,14.91,12.96,3.21,68.46,66.0,76.21,73.52,48.12,56.84,1909,3.36,2761,7.03,9.13,17.13,21.08,0.27,0.36,0.67,0.82,93.96,0.69,5.23,4.07,2.82,2.92,2.59,70.31,3.17,39.81,3,866,96.63,67.75,2.19,24.25,1962,2.6,0.31,37200,48400,63900,26700,294,387,444,150,457,23.2,15.9,12.8,0,0,3.9,74.75,59.51,91.92,94.73,105.0,152.34,95.0,137.83,47935.0,69548.6,456.5,152.3,93.23,100.0,0.0,0.0,0.0,0.0,5.0,9.0,245.0,24.5,2894.5,0.69,62.0,5471050.0,90.48,0.0,4.76,79379.2,4,5.8,0.0,0.0,138.0,200.22,435.0,631.14,729.0,1057.7,3078.0,4465.85,467.0,677.57,41.0,59.49,0.0,6260.61,1
Orindacity,16642,2.64,0.83,91.77,6.81,2.42,10.46,15.77,7.6,15.08,16642,100.0,80968,76.22,1.33,75.97,26.82,2.55,18.61,89205,40558,41978,36245,32182,23743,22698.0,33316,392,2.36,0.62,2.95,66.02,2.98,61.31,8.98,36.79,3.03,59.3,6.11,20.53,8.79,7.49,2.92,89.79,87.89,100.0,89.35,50.33,58.23,37,0.31,1808,4.54,7.41,11.12,18.31,0.49,0.81,1.21,1.99,88.37,0.79,2.44,1.95,2.63,2.68,2.18,92.9,0.33,12.05,3,170,97.37,91.4,1.18,31.18,1957,0.0,0.0,340100,432200,500001,159901,491,946,1001,510,1001,30.1,23.2,11.2,0,0,10.86,51.66,64.99,76.69,92.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1275.8,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,5.71,6.0,34.28,2.0,11.43,130.0,742.77,247.0,1411.27,7.0,40.0,2.0,11.43,51.42,2205.46,0
Americuscity,16512,2.84,52.91,46.31,0.39,0.48,17.45,30.69,16.93,12.95,0,0.0,18593,69.15,0.54,21.96,31.11,19.29,13.9,22196,9257,13779,5142,1195,31779,9164.0,6202,4808,31.51,17.43,37.86,17.47,10.62,51.28,22.79,27.99,21.19,24.93,11.08,37.79,15.36,13.56,3.26,46.88,40.6,49.76,53.43,61.01,65.21,1952,13.87,102,38.24,38.24,38.24,38.24,0.24,0.24,0.24,0.24,97.02,0.5,7.59,5.32,2.63,2.71,2.55,54.79,7.25,46.81,3,508,91.96,53.24,2.95,41.73,1967,11.84,2.01,32700,44000,63000,30300,99,192,275,176,270,27.4,19.2,13.9,0,0,0.62,82.3,50.55,80.12,90.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1651.9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,24.0,135.07,84.0,472.73,146.0,821.66,739.0,4158.93,32.0,180.09,4.0,22.51,607.8,5183.18,1
Greenfieldtown,18666,2.43,0.85,97.55,0.9,1.18,12.33,24.46,11.68,15.81,0,0.0,26680,72.83,0.47,43.78,33.12,12.51,17.95,35356,13693,13826,6434,15705,7805,4102.0,24412,2145,11.93,6.12,19.67,17.88,5.91,59.45,14.93,31.68,12.84,26.34,11.49,31.93,15.13,13.48,2.97,64.83,64.84,73.4,63.99,60.41,69.46,432,2.99,415,13.49,27.71,31.08,31.08,0.3,0.62,0.69,0.69,94.63,0.48,3.01,1.86,2.33,2.6,2.0,61.26,1.07,49.2,3,386,95.22,54.91,0.52,30.57,1942,4.32,0.36,87900,110300,136700,48800,279,386,470,191,455,27.8,22.6,13.3,21,1,2.22,71.11,52.7,83.39,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,829.1,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,89.76,15.0,79.2,286.0,1510.03,205.0,1082.37,517.0,2729.67,55.0,290.39,0.0,0.0,1678.99,4102.43,0
ForrestCitycity,13364,2.81,56.66,42.52,0.51,0.7,16.65,27.06,12.27,12.65,0,0.0,13704,63.62,1.48,17.14,32.89,24.31,10.32,17832,7399,11512,4103,11195,30159,0.0,9022,5405,41.55,19.9,38.35,12.49,15.94,45.35,17.03,28.89,18.34,24.81,10.43,30.04,16.51,13.96,3.34,51.58,45.3,55.79,55.04,66.56,67.19,1301,9.32,81,32.1,32.1,58.02,58.02,0.19,0.19,0.35,0.35,97.28,0.5,9.15,6.62,2.74,2.77,2.7,52.89,7.3,46.72,3,439,91.55,52.19,8.43,42.6,1968,16.63,1.91,27700,40200,56200,28500,99,170,232,133,278,33.5,22.5,16.2,2,0,0.61,78.13,55.58,88.39,94.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,934.3,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,81.43,39.0,288.7,128.0,947.52,268.0,1983.86,1030.0,7624.55,71.0,525.58,5.0,37.01,1317.64,10171.0,1
WisconsinRapidscity,18245,2.42,0.1,96.78,1.67,0.73,11.46,24.25,11.29,16.34,0,0.0,25759,70.85,0.26,52.79,35.73,8.56,19.2,31354,13106,13288,8941,5423,5678,437.0,4814,2024,11.26,10.99,21.56,12.43,7.06,54.35,32.83,19.53,21.11,17.73,9.03,25.53,11.69,10.47,2.97,72.32,73.11,81.43,74.98,54.15,63.35,423,2.51,281,11.39,25.62,35.59,41.64,0.18,0.39,0.55,0.64,96.33,0.86,3.55,2.36,2.38,2.49,2.18,67.78,1.58,47.61,3,284,96.37,64.86,0.35,32.75,1956,2.75,0.37,35800,44500,56800,21000,212,283,350,138,354,24.4,15.9,13.3,0,0,1.54,86.54,57.12,86.57,95.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,1506.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.41,1.0,5.41,2.0,10.81,45.0,243.34,137.0,740.82,868.0,4693.67,16.0,86.52,2.0,10.81,264.97,5531.82,1
